epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1204.21,nan,nan,nan,0.0114,0.0099,0.0005,0.00021,nan,nan,nan,0.000660436,0.000660436,0.000660436
2,2336.26,nan,nan,nan,0.01149,0.0099,0.00045,0.00017,nan,nan,nan,0.00131396,0.00131396,0.00131396
3,3413.41,nan,nan,nan,0.0088,0.0099,0.00041,0.00017,nan,nan,nan,0.00195429,0.00195429,0.00195429
4,4487.63,nan,nan,nan,0.01022,0.0099,0.0004,0.00016,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,5556.87,nan,nan,nan,0.00882,0.0099,0.00042,0.00017,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,6688.41,nan,nan,nan,0.00923,0.0099,0.00041,0.00017,nan,nan,nan,0.001901,0.001901,0.001901
7,7780.05,nan,nan,nan,0.00576,0.0099,0.00052,0.00021,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,8840.95,nan,nan,nan,0.00875,0.0099,0.00038,0.00016,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,9897.34,nan,nan,nan,0.00854,0.0099,0.0004,0.00017,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,10985.6,nan,nan,nan,0.00787,0.0099,0.00037,0.00015,nan,nan,nan,0.0018218,0.0018218,0.0018218
11,12049.3,nan,nan,nan,0.01178,0.0099,0.00046,0.00019,nan,nan,nan,0.001802,0.001802,0.001802
12,13124.8,nan,nan,nan,0.00869,0.0099,0.0004,0.00016,nan,nan,nan,0.0017822,0.0017822,0.0017822
13,14182.7,nan,nan,nan,0.01541,0.0099,0.00055,0.00024,nan,nan,nan,0.0017624,0.0017624,0.0017624
14,15229.1,nan,nan,nan,0.00928,0.0099,0.00041,0.00017,nan,nan,nan,0.0017426,0.0017426,0.0017426
15,16274.8,nan,nan,nan,0.00906,0.0099,0.00039,0.00019,nan,nan,nan,0.0017228,0.0017228,0.0017228
16,17397.1,nan,nan,nan,0.00434,0.0099,0.00035,0.00014,nan,nan,nan,0.001703,0.001703,0.001703
17,18487.8,nan,nan,nan,0.00796,0.0099,0.00038,0.00016,nan,nan,nan,0.0016832,0.0016832,0.0016832
18,19552.1,nan,nan,nan,0.00966,0.0099,0.00042,0.00017,nan,nan,nan,0.0016634,0.0016634,0.0016634
19,20630.2,nan,nan,nan,0.00937,0.0099,0.00042,0.00017,nan,nan,nan,0.0016436,0.0016436,0.0016436
20,21677.8,nan,nan,nan,0.01101,0.0099,0.00041,0.00017,nan,nan,nan,0.0016238,0.0016238,0.0016238
21,22686.6,nan,nan,nan,0.01012,0.0099,0.00038,0.00016,nan,nan,nan,0.001604,0.001604,0.001604
22,23733,nan,nan,nan,0.01167,0.0099,0.00046,0.00019,nan,nan,nan,0.0015842,0.0015842,0.0015842
23,24726.3,nan,nan,nan,0.01124,0.0099,0.00046,0.0002,nan,nan,nan,0.0015644,0.0015644,0.0015644
24,25770.5,nan,nan,nan,0.0109,0.0099,0.00044,0.00018,nan,nan,nan,0.0015446,0.0015446,0.0015446
25,26773.9,nan,nan,nan,0.01066,0.0099,0.00043,0.00018,nan,nan,nan,0.0015248,0.0015248,0.0015248
26,27782.1,nan,nan,nan,0.00506,0.0099,0.00043,0.00018,nan,nan,nan,0.001505,0.001505,0.001505
27,28774.4,nan,nan,nan,0.0113,0.0099,0.00045,0.00019,nan,nan,nan,0.0014852,0.0014852,0.0014852
28,29788.9,nan,nan,nan,0.00875,0.0099,0.00039,0.00017,nan,nan,nan,0.0014654,0.0014654,0.0014654
29,30798.7,nan,nan,nan,0.00748,0.0099,0.00038,0.00015,nan,nan,nan,0.0014456,0.0014456,0.0014456
30,31777.8,nan,nan,nan,0.01245,0.0099,0.00047,0.0002,nan,nan,nan,0.0014258,0.0014258,0.0014258
31,32754.8,nan,nan,nan,0.0091,0.0099,0.00039,0.00016,nan,nan,nan,0.001406,0.001406,0.001406
32,33736.9,nan,nan,nan,0.00954,0.0099,0.00042,0.00018,nan,nan,nan,0.0013862,0.0013862,0.0013862
33,34734.3,nan,nan,nan,0.01002,0.0099,0.00042,0.00017,nan,nan,nan,0.0013664,0.0013664,0.0013664
34,35730.6,nan,nan,nan,0.01064,0.0099,0.00045,0.00018,nan,nan,nan,0.0013466,0.0013466,0.0013466
35,36715.2,nan,nan,nan,0.00977,0.0099,0.00039,0.00018,nan,nan,nan,0.0013268,0.0013268,0.0013268
36,37734,nan,nan,nan,0.0082,0.0099,0.00039,0.00016,nan,nan,nan,0.001307,0.001307,0.001307
37,38765.3,nan,nan,nan,0.00914,0.0099,0.00042,0.00019,nan,nan,nan,0.0012872,0.0012872,0.0012872
38,39758.3,nan,nan,nan,0.01114,0.0099,0.00044,0.00018,nan,nan,nan,0.0012674,0.0012674,0.0012674
39,40756.2,nan,nan,nan,0.01132,0.0099,0.00047,0.0002,nan,nan,nan,0.0012476,0.0012476,0.0012476
40,41787.4,nan,nan,nan,0.01235,0.0099,0.00047,0.00019,nan,nan,nan,0.0012278,0.0012278,0.0012278
41,42798.1,nan,nan,nan,0.01032,0.0099,0.00041,0.00017,nan,nan,nan,0.001208,0.001208,0.001208
42,43808.8,nan,nan,nan,0.0124,0.0099,0.00045,0.00018,nan,nan,nan,0.0011882,0.0011882,0.0011882
43,44821.5,nan,nan,nan,0.00967,0.0099,0.00037,0.00015,nan,nan,nan,0.0011684,0.0011684,0.0011684
44,45846.1,nan,nan,nan,0.00916,0.0099,0.00037,0.00015,nan,nan,nan,0.0011486,0.0011486,0.0011486
45,46840.3,nan,nan,nan,0.00967,0.0099,0.0004,0.00016,nan,nan,nan,0.0011288,0.0011288,0.0011288
46,47846.7,nan,nan,nan,0.01286,0.0099,0.00048,0.0002,nan,nan,nan,0.001109,0.001109,0.001109
47,48844.7,nan,nan,nan,0.00973,0.0099,0.00042,0.00018,nan,nan,nan,0.0010892,0.0010892,0.0010892
48,49864.1,nan,nan,nan,0.00511,0.0099,0.00042,0.00017,nan,nan,nan,0.0010694,0.0010694,0.0010694
49,50881.6,nan,nan,nan,0.00851,0.0099,0.0004,0.00017,nan,nan,nan,0.0010496,0.0010496,0.0010496
